keyword_name,ADF_Statistics_wiki,ADF_p_value_wiki,ADF_critical_values_wiki,ADF_Statistics_news,ADF_p_value_news,ADF_critical_values_news,ssr_ftest_pValue_lag1,ssr_ftest_pValue_lag2,ssr_ftest_pValue_lag3,ssr_ftest_pValue_lag4,ssr_ftest_pValue_lag5,ssr_ftest_pValue_lag6,ssr_ftest_pValue_lag7
2G,-6.152354929671527,7.509109546750829e-08,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-2.9291288785125484,0.0420640507784741,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",0.1585,0.36,0.0048,0.0017,0.0032,0.0349,0.0113
2G-Regel,-1.7815059300809726,0.3896813678001902,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-2.6306081477982333,0.08683474033661281,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.1055,0.1347,0.1522,0.2006,0.2409,0.6093,0.8189
3G,-5.992841617430682,1.729179265256797e-07,"{'1%': -3.4776006742422374, '5%': -2.882265832283648, '10%': -2.5778219289774156}",-11.61457463802301,2.4665580728577786e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.3769,0.4962,0.2652,0.2759,0.2027,0.4056,0.2055
A,-11.208058397690783,2.159864196232468e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-12.570638773200054,2.0077620926068827e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.1438,0.1789,0.2687,0.2817,0.3887,0.5324,0.5295
Ab,-12.506756877668828,2.7298107296208635e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.305089222821934,3.294815584235623e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.4711,0.5616,0.7634,0.8286,0.5584,0.6787,0.6212
Abend,-9.755722742337916,7.799427264274404e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-1.805622213413208,0.3776740149233909,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",0.0516,0.0688,0.1348,0.1059,0.1274,0.2897,0.4933
Abschied,-2.365277713045611,0.1517772359999322,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-9.578272644813923,2.1933078525311824e-16,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.4225,0.4858,0.6249,0.6389,0.7209,0.6027,0.5859
Acht,-6.551147052626052,8.844689247296915e-09,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-2.211029179187952,0.202266881370948,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.1321,0.1507,0.1605,0.2241,0.3282,0.2759,0.3788
Afghanistan,-5.304832423405014,5.350847606097261e-06,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-7.180302173203892,2.66060582940184e-10,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.8439,0.8963,0.3781,0.47,0.5314,0.6346,0.4853
Alba,-4.742644844526391,6.992670422145878e-05,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-10.830658239217817,1.711503550790895e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.0324,0.0161,0.0273,0.0609,0.04,0.0643,0.0372
Alle,-11.20065980250897,2.2482123212986883e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.574134025223453,3.051584788366963e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.8617,0.0076,0.0035,0.0113,0.0108,0.0171,0.0005
Alles,-10.729191788203748,3.0102965044664026e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-6.656504880298787,4.968768504477045e-09,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.2898,0.3734,0.4405,0.116,0.1289,0.0953,0.0711
Als,-10.038902644924928,1.5145991875964152e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-6.285438533322042,3.7079693908793266e-08,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",0.3967,0.7532,0.6228,0.7027,0.8494,0.9279,0.9423
Am,-10.561164128928382,7.721806118309312e-19,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-1.7643694681081612,0.3982891626642162,"{'1%': -3.4769274060112707, '5%': -2.8819726324025625, '10%': -2.577665408088415}",0.9416,0.9897,0.8984,0.874,0.86,0.9287,0.9007
Ampel,-1.7155335531714577,0.42312741649266544,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-9.948830459474946,2.5466926682877782e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.0,0.0,0.0,0.0,0.0,0.0001,0.0
Amt,-11.501968286967198,4.46903886536133e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2.567663794403274,0.09986635206828154,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.5425,0.8632,0.9455,0.8057,0.8905,0.9497,0.9859
An,-12.349497755137985,5.868966297935544e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-11.773614568177441,1.0753496894787613e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.3952,0.5694,0.0008,0.0017,0.0028,0.0003,0.0003
Andrew,-6.9828773713513135,8.106949497849577e-10,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-7.1433595882397345,3.2803323096411185e-10,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.7848,0.0001,0.0001,0.0003,0.0006,0.0027,0.0051
Anfang,-4.838955896338082,4.578343999727315e-05,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-10.641765079144504,4.909294833567013e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.9819,0.9978,0.9985,0.987,0.8946,0.8647,0.9231
Angeklagter,-9.631952039275017,1.6034267409281912e-16,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2.363631528776917,0.15226526775377414,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",0.3201,0.4772,0.3792,0.2478,0.3237,0.3215,0.4488
Angriff,-6.16255666493643,7.115895833280107e-08,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-9.132528826840781,2.9952436492932018e-15,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.5406,0.3939,0.2213,0.3517,0.2109,0.3674,0.3267
Angst,-10.879298406768221,1.3071615111470364e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-3.1816127529127733,0.021073981636021755,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",0.885,0.5961,0.6521,0.8804,0.9234,0.4794,0.0876
Anklage,-1.973125624205459,0.2984794416860385,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-2.723091033363636,0.07012703458317257,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.5004,0.1483,0.2718,0.2881,0.2493,0.3255,0.6527
Anschlag,-12.179088006851746,1.364624927646005e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-9.59770851522649,1.9580286208142333e-16,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.3537,0.658,0.6185,0.6193,0.638,0.7642,0.7719
Anstieg,-4.315989903305066,0.0004167272977916253,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-11.033520473548746,5.590884927958677e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.3634,0.3688,0.5531,0.6871,0.7658,0.8771,0.9042
Antrag,-4.37103609270785,0.000333896761840886,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-9.927249076306824,2.885048213730752e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.5084,0.7105,0.8074,0.6144,0.6927,0.706,0.5773
Apple,-2.0565366500385602,0.2623465332794108,"{'1%': -3.4769274060112707, '5%': -2.8819726324025625, '10%': -2.577665408088415}",-12.449699959440203,3.598280451730967e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.5662,0.5072,0.5111,0.6295,0.7259,0.8801,0.9479
April,-3.0594920276052315,0.029699850723383152,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",2.9592583057007227,1.0,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",0.0,0.0009,0.0008,0.0083,0.0112,0.0141,0.0
Arbeit,-2.406335027107211,0.13995637164192326,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",-10.590250084321536,6.556054692210117e-19,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.8667,0.0549,0.1231,0.2117,0.2042,0.3033,0.4212
Arzt,-2.691375107107529,0.07554268064390236,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",-2.588857176434771,0.09532220137305186,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",0.2919,0.3999,0.1935,0.3115,0.4194,0.5345,0.598
Attacke,-6.467033982589624,1.3969623712487269e-08,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-11.968577598457088,3.9471059321233635e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.4156,0.7334,0.8094,0.9082,0.3835,0.3338,0.2829
Auch,-3.5661695994301703,0.006441720649475672,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-6.1258329241547935,8.633964903675136e-08,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.8794,0.8391,0.4838,0.3681,0.4011,0.2497,0.2839
Aue,-8.933548879234786,9.669600641225507e-15,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-3.502220260313781,0.007930255825910004,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",0.0503,0.1198,0.259,0.1885,0.3329,0.2853,0.2524
Auf,-4.181167794670852,0.0007089699860120456,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-3.4234180851511886,0.010185989575607693,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",0.8478,0.3973,0.425,0.6048,0.7694,0.4048,0.4785
Auffahrunfall,-2.6500563648181417,0.08308652643856396,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-6.209084999390409,5.564311268916126e-08,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",0.3587,0.5837,0.7222,0.8508,0.7803,0.4972,0.543
Aufnahme,-5.484319272515057,2.247709054712016e-06,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-2.016631634602728,0.27932865407097407,"{'1%': -3.477261624048995, '5%': -2.8821181874544233, '10%': -2.5777431104939494}",0.0085,0.0376,0.1161,0.1896,0.2072,0.2886,0.3939
Augsburg,-7.8322699806590945,6.247190231574731e-12,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2.019784844633802,0.2779660729952924,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",0.3436,0.206,0.3252,0.4689,0.5734,0.5954,0.6733
Aus,-9.737155065441417,8.688587445711186e-17,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-3.2157567123853266,0.019090544359393107,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",0.705,0.8396,0.9402,0.9158,0.8391,0.6963,0.7697
Ausbau,-3.158402377847928,0.02252234564159925,"{'1%': -3.477261624048995, '5%': -2.8821181874544233, '10%': -2.5777431104939494}",-11.144939543100035,3.042604174092293e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.2045,0.007,0.0314,0.0529,0.0469,0.0626,0.1887
Ausstellung,-2.6561179621576114,0.08194441776377687,"{'1%': -3.4756368462466662, '5%': -2.8814104466172608, '10%': -2.5773652982553568}",-1.2976862349657878,0.6302301980504135,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",0.0648,0.039,0.0075,0.0134,0.0178,0.0201,0.0449
Australian,-7.008033178677549,7.038785668815599e-10,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-4.026989342501778,0.0012755973603730483,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",0.129,0.2545,0.1955,0.312,0.451,0.264,0.2174
Australien,-2.7835236931981697,0.06066610670562459,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-5.627163085317252,1.1106015097214098e-06,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.0005,0.0083,0.0394,0.0119,0.022,0.0138,0.029
Auto,-11.678302384695007,1.7662273536852857e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-1.2447296909041525,0.6540644290661317,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",0.4896,0.8004,0.9367,0.9148,0.6566,0.7678,0.8206
Autobahn,-11.066859117111822,4.6581610887526414e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-10.1504471303005,7.977047122308474e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.8971,0.9943,0.9569,0.9004,0.8722,0.8219,0.8326
Autofahrer,-10.508892487277869,1.036849436220321e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-5.927617978450005,2.4226651819208207e-07,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.8862,0.9381,0.7974,0.775,0.7239,0.2741,0.3643
Autounfall,-4.585073891612963,0.00013760424209326527,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-6.469491202120165,1.378492491374067e-08,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.178,0.2413,0.2925,0.0147,0.0263,0.0183,0.0017
Baby,-10.361019362867262,2.3964378442544016e-18,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-5.755573611936552,5.830580148929079e-07,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",0.6124,0.6279,0.3844,0.2637,0.4071,0.4848,0.5894
Bach,-8.434081733580145,1.836683268358613e-13,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-5.668239945229853,9.04696465691575e-07,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.9882,0.9024,0.8992,0.9059,0.9369,0.9236,0.7521
Bad,-20.730300018199443,0.0,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-2.711746521269329,0.07202757152953476,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",0.6145,0.7197,0.6709,0.6628,0.7746,0.5422,0.5171
Baden-Württemberg,-9.116711920405326,3.2874398062228563e-15,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-9.36314936205806,7.72572072700023e-16,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.4196,0.3443,0.5126,0.4214,0.4296,0.4612,0.5927
Baerbock,-3.844274691391471,0.0024854595855943514,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",-8.861476443687323,1.4788543923752687e-14,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.7747,0.5969,0.7783,0.5593,0.6618,0.705,0.79
Bahn,-11.587411940112565,2.8453995844896546e-21,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-4.871976755142666,3.952965757498337e-05,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",0.6446,0.7022,0.8669,0.9461,0.9898,0.9804,0.963
Bank,-11.902017540233572,5.54660543794434e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-8.988343953859749,7.00115039187512e-15,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.0001,0.0,0.0001,0.0004,0.0008,0.0024,0.0036
Banken,-12.699507566071153,1.0876266553575708e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-4.740185729630608,7.068022271783652e-05,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",0.8367,0.1859,0.2635,0.3483,0.5153,0.6223,0.624
Barcelona,0.14804718155583899,0.9691924774415139,"{'1%': -3.4779446621720114, '5%': -2.8824156122448983, '10%': -2.577901887755102}",-8.30507149100857,3.9236893667909626e-13,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.0001,0.0011,0.003,0.0071,0.0025,0.002,0.0065
Basketballer,-12.661348609312094,1.3028745490591294e-23,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-5.118376149294339,1.2874005197002468e-05,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",0.2421,0.123,0.0971,0.1535,0.2257,0.3267,0.3996
Baum,-2.214130548086811,0.20115691442930567,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",-8.834703688025856,1.7317294020259384e-14,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.9703,0.6588,0.7711,0.5665,0.11,0.1459,0.0642
Bayern,-4.348077916960575,0.0003663459249180385,"{'1%': -3.4744158894942156, '5%': -2.880878382771059, '10%': -2.577081275821236}",-4.906076770778723,3.393686836862857e-05,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.8276,0.3381,0.4961,0.4883,0.7582,0.8373,0.1191
