keyword_name,lowest_lag_after_diff_Google_grangerCauses_News
3G,4.0
9-Euro-Ticket,7.0
A9,7.0
Abramowitsch,6.0
Abstieg,4.0
Achtelfinale,4.0
Achtung,6.0
Affenpocken,7.0
Ahrtal,3.0
Aktien,6.0
Aktion,1.0
Alba,1.0
Alexander,6.0
Alles,4.0
Alltag,1.0
Als,6.0
Altkanzler,1.0
Amazon,6.0
Amber,2.0
Amoklauf,1.0
Amt,1.0
Andreas,7.0
Andrew,2.0
Angeklagte,4.0
Angriffskrieg,1.0
Anklage,4.0
Anleger,7.0
Anne,1.0
Anschlag,1.0
Antisemitismus,6.0
Antrag,7.0
Anwalt,1.0
App,3.0
Appell,1.0
April,7.0
Arbeiten,7.0
Arbeiter,1.0
Armee,7.0
Arzt,1.0
Atomkraft,7.0
Auch,6.0
Aufklärung,1.0
Aufstieg,7.0
Auge,2.0
Augsburg,6.0
Ausbau,4.0
Aussage,1.0
Ausschluss,4.0
Aussicht,6.0
Ausstellung,1.0
Australian,7.0
Australien,6.0
Austria,6.0
Auto,6.0
Baby,1.0
Baden-Württemberg,1.0
Baerbock,2.0
Bahnverkehr,4.0
Ballermann,2.0
Bank,1.0
Barcelona,4.0
Baumgart,3.0
Baustelle,1.0
Bayer,4.0
Bayern,5.0
Becker,1.0
Beginn,5.0
Belarus,7.0
Belgien,2.0
Benedikt,3.0
Benzin,2.0
Berg,6.0
Bericht,1.0
Berlin,4.0
Berlinale,5.0
Berliner,6.0
Beschäftigte,1.0
Betrieb,4.0
Betrüger,2.0
Beute,1.0
Bielefeld,6.0
Bier,2.0
Bierhoff,1.0
Big,3.0
Bild,1.0
Bilder,1.0
Bischof,6.0
Blick,6.0
Boateng,5.0
Bobic,6.0
Bochum,7.0
Bord,7.0
Boris,1.0
Boss,6.0
Botschafter,7.0
Bouffier,2.0
Brady,7.0
Brand,4.0
Brandenburg,5.0
Brandstiftung,4.0
Brüssel,4.0
Bund,1.0
Bundesliga,2.0
Bundesländer,1.0
Bundespolizei,5.0
Bundespräsident,2.0
Bundeswehr,7.0
Bus,7.0
Butscha,2.0
Börse,2.0
Bündnis,1.0
Bürgermeister,3.0
Champions,1.0
Chance,3.0
Charkiw,5.0
Charles,5.0
China,2.0
City,7.0
Coach,1.0
Corona-Pandemie,7.0
Cottbus,7.0
Covid-19,7.0
Dabrowski,1.0
Dach,3.0
Dance,7.0
Darmstadt,5.0
Daten,1.0
David,6.0
Davies,4.0
Deal,1.0
Demokratie,4.0
Depp,2.0
Derby,2.0
Deutsche,3.0
Deutscher,6.0
Deutschland,6.0
Digitalisierung,6.0
Dinge,3.0
Djokovic,5.0
Documenta,7.0
Dollar,3.0
Donnerstag,6.0
Drei,5.0
Dresden,7.0
Dritte,6.0
Drosten,3.0
Dschungelcamp,7.0
E-Auto,1.0
Ehefrau,1.0
Ehepaar,1.0
Eier,1.0
Eine,1.0
Einkaufszentrum,4.0
Einsatz,7.0
Eintracht,2.0
Einzelhandel,7.0
Eis,5.0
Eisbären,7.0
Elon,5.0
Eltern,6.0
Energie,1.0
Energieversorgung,1.0
Energiewende,1.0
Entscheidung,2.0
Entwicklung,1.0
Euro,7.0
Eurojackpot,5.0
Europa,2.0
Ex,6.0
Explosion,1.0
Fahndung,5.0
Fahrzeuge,3.0
Fakten,7.0
Fall,5.0
Familie,3.0
Fehler,2.0
Feier,2.0
Feldmann,4.0
Festival,3.0
Filmtrailer,1.0
Finnland,4.0
Flucht,1.0
Flughafen,1.0
Flutkatastrophe,5.0
Fokus,1.0
Ford,3.0
Form,7.0
Formel,2.0
Fortuna,2.0
Foto,4.0
Frankfurt,2.0
Frankfurter,1.0
Frankreich,1.0
Frau,5.0
Freie,7.0
Freistaat,1.0
Freitag,2.0
French,7.0
Freundin,5.0
Frieden,7.0
Friedrich,3.0
Fund,6.0
Future,2.0
Fußball-Bundesliga,2.0
Führung,2.0
Fünf,6.0
G7,2.0
Garmisch-Partenkirchen,6.0
Gastronomie,7.0
Gazprom,7.0
Geburtstag,7.0
Gefahr,7.0
Gefühl,3.0
Geld,1.0
Geldautomat,1.0
Gerhard,1.0
Gericht,1.0
Gesellschaft,1.0
Gespräch,1.0
Gewalt,4.0
Gewerkschaft,1.0
Gewitter,5.0
Gipfel,5.0
Glasner,3.0
Google,2.0
Graben,2.0
Grenze,7.0
Großbrand,4.0
Grüne,7.0
Grünen,5.0
Gutachten,2.0
Gäste,5.0
Götze,6.0
Haaland,3.0
Habeck,2.0
Ham,1.0
Hamburg,2.0
Hammer,3.0
Hanau,7.0
Handel,6.0
Handy,6.0
Hannover,2.0
Hat,4.0
Hauptbahnhof,7.0
Hausbrand,7.0
Haushalt,1.0
Heard,2.0
Heidelberg,2.0
Heimat,2.0
Heiße,1.0
Herbst,1.0
Hessen,1.0
Hilfe,6.0
Himmel,2.0
Hinteregger,6.0
Hitze,2.0
Hohe,6.0
Holland,7.0
Hummels,4.0
Hund,6.0
Häuser,7.0
Höhle,1.0
Ihnen,1.0
Immer,4.0
Impfen,6.0
Impfstoff,2.0
Impfung,6.0
Industrie,7.0
Inside,5.0
Insider,7.0
Invasion,7.0
Investor,1.0
Iran,3.0
Ist,1.0
Italien,5.0
Jahr,7.0
Jahre,2.0
Jahren,5.0
Job,1.0
Johnny,4.0
Johnson,7.0
Jubiläum,1.0
Jugendliche,7.0
Julian,7.0
Kaiserslautern,2.0
Kanada,1.0
Kardinal,2.0
Karlsruher,6.0
Karneval,5.0
Kassel,7.0
Katar,2.0
Kerber,2.0
Kids,6.0
Kieler,5.0
Kiew,3.0
Kilo,3.0
Kilogramm,2.0
Kilometer,4.0
Kimmich,5.0
Kind,6.0
Kinder,2.0
Kirche,6.0
Klassenerhalt,7.0
Klaus,4.0
Klimaschutz,1.0
Klingbeil,3.0
Klitschko,6.0
Klopp,2.0
Klub,6.0
Knast,4.0
Kohfeldt,2.0
Kolumbien,4.0
Kommentar,2.0
Konflikt,1.0
Kontakt,1.0
Konzept,2.0
Kosten,2.0
Krankheit,2.0
Krebs,6.0
Kreml,7.0
Kreuz,7.0
Krieg,4.0
Kriegsverbrechen,7.0
Krise,3.0
Kritik,2.0
Kroos,5.0
Kruse,5.0
Kultur,7.0
Kunden,2.0
Kurz,2.0
Kusel,5.0
Kutschaty,4.0
Königin,2.0
Körper,1.0
Lage,3.0
Lagerhalle,1.0
Lambrecht,5.0
Landes,3.0
Landgericht,2.0
Landratsamt,1.0
Landtag,1.0
Landtagswahl,2.0
Laster,1.0
Laura,6.0
Lawrow,7.0
League,7.0
Leben,3.0
Lebensgefahr,2.0
Lebensmittel,7.0
Leclerc,2.0
Lehrer,2.0
Leiche,2.0
Leipzig,3.0
Leipziger,1.0
Leitl,1.0
Leverkusen,2.0
Lewandowski,2.0
Leyen,2.0
Lieber,3.0
Lisa,2.0
Litauen,6.0
Live,6.0
Liverpool,2.0
Lkw,1.0
Lkw-Fahrer,2.0
Lockdown,5.0
Lok,7.0
Los,7.0
Luca-App,7.0
Lufthansa,1.0
Lösung,2.0
Löwen,1.0
Macron,2.0
Madrid,4.0
Magath,2.0
Magdeburg,5.0
Mai,7.0
Maier,2.0
Mallorca,4.0
Mann,3.0
Mané,2.0
Marihuana,6.0
Mariupol,5.0
Markt,5.0
Masken,7.0
Maskenpflicht,6.0
Massaker,3.0
Medaille,7.0
Medien,7.0
Medwedew,4.0
Meghan,5.0
Mehrfamilienhaus,7.0
Mehrheit,3.0
Meister,2.0
Meisterschaft,4.0
Merz,2.0
Messi,6.0
Meter,7.0
Miami,1.0
Michelle,6.0
Mieter,5.0
Militär,6.0
Million,3.0
Ministerin,5.0
Ministerium,1.0
Ministerpräsident,2.0
Minus,6.0
Mio,4.0
Missbrauch,5.0
Mitarbeiter,1.0
Mitte,3.0
Mitten,1.0
Mittwoch,1.0
Modeste,3.0
Monaco,2.0
Monat,7.0
Montag,7.0
Moskau,7.0
Museum,1.0
Musk,2.0
Mädchen,4.0
Mörder,2.0
Müll,4.0
München,2.0
Münchner,1.0
Nachbarn,6.0
Nachfrage,4.0
Nachhaltigkeit,6.0
Nadal,3.0
Nationalspieler,7.0
Natur,1.0
Nawalny,2.0
Nein,3.0
Netz,7.0
Neuer,3.0
Neun-Euro-Ticket,2.0
New,4.0
Nicht,6.0
Nichts,1.0
Niederlande,2.0
Niedersachsen,6.0
Noch,3.0
Nord,7.0
Nordosten,4.0
Nordrhein-Westfalen,1.0
Norwegen,2.0
Nummer,6.0
Oberbayern,3.0
Oberbürgermeister,1.0
Omikron,7.0
Open,1.0
Opposition,1.0
Ostern,6.0
Osteuropa,2.0
Ostukraine,1.0
Paderborn,1.0
Palmer,7.0
Pandemie,3.0
Panzer,6.0
Papa,1.0
Papst,1.0
Paralympics,7.0
Parlament,1.0
Parteitag,2.0
Partner,7.0
Party,5.0
Pauli,1.0
Peking,1.0
Pen,7.0
Pfingsten,7.0
Pflege,6.0
Pilot,1.0
Plan,7.0
Platz,5.0
Pleite,2.0
Pocher,2.0
Pokal,2.0
Polen,1.0
Politik,6.0
Polizeieinsatz,1.0
Polizisten,7.0
Porsche,4.0
Pressekonferenz,6.0
Profi,4.0
Prognose,4.0
Projekt,2.0
Promille,2.0
Prozent,4.0
Putin,6.0
Quarantäne,1.0
Queen,4.0
Rang,1.0
Rangers,3.0
Rangnick,2.0
Rapper,3.0
Raser,2.0
Rathaus,7.0
Real,5.0
Recht,2.0
Regen,5.0
Regierung,3.0
Region,1.0
Rehlinger,2.0
Reichsbürger,6.0
Reif,7.0
Relegation,7.0
Remis,7.0
Rente,5.0
Rentner,1.0
Restaurant,6.0
Reul,7.0
Rheinland-Pfalz,5.0
Robert,5.0
Rom,7.0
Rose,6.0
Rote,1.0
Roth,6.0
Rubel,1.0
Runde,7.0
Russen,6.0
Russland,4.0
Rätsel,6.0
Rückkehr,3.0
Rückschlag,4.0
Rücktritt,2.0
Saarland,2.0
Sache,6.0
Sachsen-Anhalt,4.0
Saison,2.0
Salzburg,1.0
Samstag,2.0
Sandhausen,2.0
Sanktionen,7.0
Sattelzug,6.0
Schalke,6.0
Schauspieler,2.0
Schießerei,1.0
Schleswig-Holstein,5.0
Schloss,7.0
Schlägerei,5.0
Schnee,7.0
Schröder,1.0
Schulden,5.0
Schule,1.0
Schulen,1.0
Schultz,2.0
Schumacher,2.0
Schweden,2.0
Schwerin,7.0
Schwesig,3.0
Schüler,4.0
Schülern,1.0
Selenskyj,6.0
Senat,6.0
Senioren,7.0
Serie,2.0
Sex,3.0
Sicherheit,1.0
Sieben-Tage-Inzidenz,1.0
Sieg,4.0
Sieger,1.0
Sind,3.0
Skandal,6.0
Smith,4.0
Sohn,1.0
Solidarität,6.0
Sommer,5.0
Song,6.0
Sorgen,3.0
Spaß,3.0
Spiegel,1.0
Spiel,2.0
Spielen,4.0
Spielplan,4.0
Sport,3.0
Sprit,6.0
Sprung,6.0
St.,3.0
Staat,4.0
Stadt,1.0
Stadtrat,7.0
Stahlwerk,4.0
Stand,7.0
Star,6.0
Starkregen,6.0
Stars,1.0
Steinmeier,2.0
Stich,3.0
Stimmung,5.0
Stoltenberg,2.0
Straßen,3.0
Stream,7.0
Streich,2.0
Streit,3.0
Strobl,2.0
Strom,1.0
Studie,1.0
Studierende,1.0
Stunde,5.0
Sturm,2.0
Sturmflut,6.0
Sturmtief,2.0
Stuttgarter,3.0
Stürmer,3.0
Suche,6.0
Super,2.0
Sylt,4.0
Syrien,1.0
System,5.0
Sänger,1.0
Süle,6.0
Talent,1.0
Tatort,7.0
Team,7.0
Tedesco,1.0
Tempo,3.0
Testspiel,3.0
Texas,4.0
The,5.0
Theater,4.0
Thioune,5.0
Thomas,4.0
Thüringen,6.0
Thüringer,2.0
Tiefe,4.0
Tigers,6.0
Tom,6.0
Top,1.0
Towers,7.0
Training,6.0
Transporter,6.0
Trapp,6.0
Trauer,7.0
Trennung,7.0
Trikot,1.0
Trump,3.0
Truppen,4.0
Tuchel,4.0
Turnier,3.0
Twitter,7.0
Türkei,1.0
U-Bahn,4.0
Ukraine,6.0
Ukraine-Konflikt,7.0
Ukraine-Krise,4.0
Ukrainekrieg,6.0
Ukrainer,6.0
Ulm,6.0
Umfrage,1.0
Umgang,1.0
Umsatz,1.0
Und,6.0
Unfall,3.0
Ungarn,6.0
Unglück,4.0
Uni,4.0
United,5.0
Unser,6.0
Unternehmen,6.0
Unterricht,2.0
Untersuchungshaft,7.0
Unwetter,7.0
Urlaub,7.0
Urteil,2.0
Vater,6.0
Verband,7.0
Verbraucher,1.0
Verdacht,5.0
Verein,1.0
Verfahren,7.0
Verfassungsschutz,5.0
Vergleich,7.0
Verkehr,1.0
Verletzung,6.0
Verluste,2.0
Verlängerung,7.0
Versorgung,1.0
Verstappen,5.0
Vertrag,5.0
Viele,5.0
Viktoria,7.0
Villa,2.0
Villarreal,2.0
Virus,4.0
Volk,2.0
Vorbereitung,1.0
Vorschlag,4.0
Vorsicht,3.0
Vorstand,1.0
Völler,6.0
Wachstum,1.0
Wagner,7.0
Wahl,3.0
Wahlkampf,1.0
Wald,6.0
Waldbrand,6.0
Waldbrandgefahr,5.0
Waldbrände,1.0
Walijewa,3.0
Wand,7.0
Wann,6.0
Warnstreik,2.0
Washington,7.0
Wasser,7.0
Wasserstoff,2.0
Weber,6.0
Welcher,3.0
Weltkrieg,3.0
Werner,1.0
Wert,1.0
West,1.0
Wetterdienst,3.0
Wieder,3.0
Will,7.0
Wind,7.0
Windkraft,5.0
Winter,5.0
Winterspiele,1.0
Wirbel,2.0
Wirtschaft,2.0
Wissing,5.0
Wladimir,6.0
Wo,7.0
Wochenende,6.0
Wohnhaus,7.0
Wohnung,7.0
Wolf,4.0
Wut,4.0
Wüst,5.0
Yeliz,5.0
Ylenia,2.0
York,4.0
Zahl,6.0
Zahlen,6.0
Zeichen,5.0
Zeit,6.0
Zeitung,7.0
Zerstörung,6.0
Zeuge,1.0
Zeugen,1.0
Zeynep,4.0
Zoll,7.0
Zoo,1.0
Zu,7.0
Zug,1.0
Zugunglück,5.0
Zukunft,4.0
Zur,1.0
Zuschauer,5.0
Zverev,7.0
Ärzte,5.0
Österreich,5.0
Özdemir,3.0
Übernahme,6.0
Überraschung,4.0
