keyword_name,lowest_lag_after_diff_News_grangerCauses_Google
3G,7.0
9-Euro-Ticket,6.0
A8,6.0
Aber,5.0
Abramowitsch,7.0
Acht,3.0
Achtelfinale,2.0
Achtung,3.0
Adler,3.0
Affenpocken,2.0
Alarm,3.0
Alle,3.0
Alltag,2.0
Alte,3.0
Altkanzler,1.0
Amazon,3.0
Amber,4.0
Amoklauf,1.0
Amt,7.0
Angebot,4.0
Angeklagte,4.0
Anna,1.0
Anstieg,5.0
Anwohner,3.0
Appell,2.0
April,1.0
Arzt,1.0
Astronaut,3.0
Atomkraft,1.0
Auch,4.0
Auf,6.0
Augsburg,2.0
August,4.0
Aussage,5.0
Ausschluss,1.0
Aussicht,6.0
Ausstellung,3.0
Australian,6.0
Australien,7.0
Austria,3.0
Auto,7.0
Autobahn,5.0
Autofahrer,1.0
Außenminister,4.0
Außenministerin,2.0
Baby,3.0
Bach,6.0
Baden-Württemberg,3.0
Baerbock,1.0
Bahnverkehr,2.0
Ballermann,7.0
Baum,6.0
Baumgart,1.0
Bayer,7.0
Becker,1.0
Belarus,4.0
Belgien,3.0
Benedikt,5.0
Benzin,3.0
Berg,3.0
Berlin,3.0
Berlinale,7.0
Berliner,3.0
Beschäftigte,3.0
Beste,3.0
Betrüger,1.0
Bewohner,3.0
Bewährung,1.0
Beziehung,5.0
Bier,1.0
Bierhoff,7.0
Big,3.0
Bischof,7.0
Bluttat,1.0
Boateng,5.0
Boris,2.0
Botschafter,3.0
Bouffier,1.0
Brady,1.0
Brandenburg,6.0
Bremen,7.0
Brief,5.0
Briten,4.0
Bronze,6.0
Brüssel,5.0
Bund,2.0
Bundespolizei,3.0
Bus,3.0
Busse,4.0
Butscha,1.0
Bäume,7.0
Camp,4.0
Chance,3.0
Charkiw,2.0
Chemie,5.0
City,6.0
Club,6.0
Coach,3.0
Corona-Test,1.0
Dance,7.0
Darmstadt,5.0
David,3.0
Dealer,3.0
Demo,1.0
Demonstranten,4.0
Demonstration,5.0
Den,6.0
Depp,6.0
Derby,2.0
Deutsche,3.0
Deutscher,6.0
Deutschland,3.0
Dinge,3.0
Diskussion,7.0
Djokovic,3.0
Documenta,7.0
Donnerstag,2.0
Dorf,6.0
Draisaitl,5.0
Drama,3.0
Drosten,3.0
Dschungelcamp,6.0
Duisburg,3.0
Dänemark,5.0
E-Auto,2.0
Ehefrau,3.0
Ei,3.0
Eier,7.0
Eine,5.0
Einkaufszentrum,5.0
Eintracht,2.0
Einzelhandel,2.0
Eis,4.0
Eisbären,3.0
Eltern,5.0
Endlich,6.0
Energiekrise,7.0
Energiewende,6.0
Entlastung,1.0
Entwarnung,2.0
Ermittler,1.0
Ernst,3.0
Erzgebirge,7.0
Essen,5.0
Euro,5.0
Eurojackpot,1.0
Fahrt,3.0
Fahrzeuge,5.0
Fall,3.0
Fan,5.0
Fast,4.0
Feier,7.0
Feiern,4.0
Feldmann,3.0
Festival,1.0
Finale,1.0
Finanzminister,1.0
Flick,5.0
Flieger,4.0
Flucht,5.0
Flughafen,3.0
Formel,1.0
Fortuna,3.0
Frage,1.0
Franken,3.0
Frankfurt,2.0
Frankfurter,3.0
Frau,3.0
Freiburg,1.0
Freie,3.0
Freispruch,7.0
Freitag,1.0
French,7.0
Freundin,7.0
Frieden,6.0
Friedrich,5.0
Frust,3.0
Future,1.0
Fußball-Bundesliga,7.0
Führung,3.0
G7,3.0
Ganz,3.0
Garmisch-Partenkirchen,6.0
Garten,2.0
Gas,3.0
Gastronomie,3.0
Gedenken,1.0
Gefahr,7.0
Gefängnis,7.0
Gegen,4.0
Gehalt,7.0
Geld,3.0
Geldautomat,7.0
Generation,7.0
Gericht,4.0
Gewalt,7.0
Gewerkschaft,2.0
Gipfel,7.0
Glasgow,3.0
Glasner,5.0
Google,6.0
Großbrand,2.0
Große,7.0
Grünen,1.0
Gut,5.0
Gutachten,1.0
Götze,5.0
Günther,7.0
Haben,3.0
Haft,5.0
Haftbefehl,1.0
Hahn,3.0
Halbfinale,4.0
Ham,2.0
Hamburg,3.0
Hamburger,4.0
Hamilton,3.0
Hanau,2.0
Hand,4.0
Handwerk,1.0
Handy,4.0
Hannover,3.0
Harry,6.0
Hass,6.0
Hat,3.0
Hauptbahnhof,3.0
Hauptstadt,4.0
Hausbrand,1.0
Heard,3.0
Heidelberg,2.0
Heidenheim,1.0
Heil,5.0
Heimat,7.0
Herbst,3.0
Herr,5.0
Hessen,3.0
Hilfe,7.0
Himmel,2.0
Hinteregger,3.0
Hitze,7.0
Hochzeit,5.0
Hoeneß,2.0
Holland,5.0
Hummels,5.0
Häuser,3.0
Höhle,2.0
Hölle,4.0
Hütter,2.0
Ihnen,2.0
Immer,4.0
Impfen,3.0
Impfstoff,3.0
Impfung,3.0
Industrie,7.0
Innenministerin,2.0
Insider,3.0
Instagram,6.0
Internet,4.0
Invasion,1.0
Israel,6.0
Ist,6.0
Jahr,3.0
Jahre,3.0
Jahren,3.0
James,3.0
Jena,3.0
John,7.0
Johnny,2.0
Johnson,3.0
Jubiläum,2.0
Jugend,6.0
Jugendliche,5.0
Julian,5.0
Jungen,5.0
Kabinett,4.0
Kaiserslautern,2.0
Kalenderblatt,7.0
Kapitän,5.0
Karl,5.0
Karneval,3.0
Katar,2.0
Katzen,5.0
Kein,6.0
Kids,3.0
Kilo,5.0
Kilogramm,7.0
Kimmich,1.0
Kind,3.0
Kinder,3.0
Kirche,4.0
Klassenerhalt,1.0
Klimaschutz,3.0
Klopp,5.0
Kohfeldt,2.0
Kolumbien,3.0
Kommentar,3.0
Konflikt,1.0
Kontakt,2.0
Konzept,3.0
Kosten,3.0
Krebs,3.0
Kretschmann,3.0
Kriegsverbrechen,4.0
Krise,6.0
Kritik,1.0
Kroos,7.0
Kruse,1.0
Krüger,1.0
Kultur,3.0
Kutschaty,2.0
Köln,3.0
Kölner,7.0
Königin,1.0
Körper,3.0
Küste,6.0
Lagerhalle,6.0
Lambrecht,7.0
Landkreis,5.0
Landtag,1.0
Landtagswahl,6.0
Lastwagen,3.0
Lauterbach,1.0
Lautern,7.0
Lawrow,6.0
Le,3.0
Leben,5.0
Lebensgefahr,2.0
Leclerc,3.0
Leitl,2.0
Leute,5.0
Lewandowski,2.0
Leyen,1.0
Lisa,4.0
Liste,3.0
Live,7.0
Liverpool,2.0
Lkw,3.0
Lkw-Fahrer,1.0
Lockdown,5.0
London,5.0
Luca-App,6.0
Ludwigsburg,7.0
Luft,3.0
Lust,3.0
Länder,7.0
Lösung,3.0
Madrid,2.0
Magath,2.0
Magdeburg,3.0
Mai,6.0
Maier,6.0
Mainz,1.0
Mama,3.0
Mannheim,3.0
Mariupol,2.0
Markt,3.0
Markus,7.0
Maskenpflicht,3.0
Massaker,5.0
Mecklenburg-Vorpommern,4.0
Medaille,4.0
Medwedew,3.0
Meer,3.0
Mein,5.0
Meine,3.0
Meisterschaft,6.0
Mensch,5.0
Michelle,3.0
Mick,1.0
Mike,3.0
Million,6.0
Mindestlohn,5.0
Minister,7.0
Ministerium,2.0
Mio,3.0
Mitte,3.0
Mittwoch,1.0
Model,4.0
Monaco,2.0
Montag,1.0
Motorrad,7.0
Museum,3.0
Musk,4.0
Mutter,3.0
Mädchen,3.0
Müll,6.0
Müller,3.0
München,5.0
Münchner,7.0
Nachhaltigkeit,6.0
Nadal,3.0
Nahverkehr,7.0
Nationalspieler,6.0
Nein,6.0
Netflix,5.0
Neue,3.0
Neuer,6.0
Niedersachsen,6.0
Nord,3.0
Nordosten,1.0
Norwegen,7.0
Oberbayern,3.0
Offensive,3.0
Ohne,3.0
Omikron,7.0
Open,5.0
Opfer,6.0
Opposition,7.0
Ostern,6.0
Ostukraine,1.0
Otte,2.0
Paralympics,7.0
Paris,4.0
Park,7.0
Parkplatz,3.0
Parteitag,1.0
Party,7.0
Pause,6.0
Peking,1.0
Pen,3.0
Peter,7.0
Pfingsten,5.0
Pflege,3.0
Pilot,7.0
Plan,3.0
Platz,4.0
Podcast,3.0
Pokal,3.0
Polizei,7.0
Polizeieinsatz,2.0
Polizisten,2.0
Porsche,3.0
Post,4.0
Pressekonferenz,7.0
Prinz,3.0
Prognose,7.0
Projekt,6.0
Promille,1.0
Prozent,4.0
Prozess,6.0
Punkt,4.0
Putin,6.0
Quarantäne,3.0
Queen,5.0
Radfahrerin,3.0
Rang,4.0
Rangers,1.0
Rangnick,1.0
Raser,7.0
Rathaus,5.0
Real,2.0
Recht,3.0
Rede,7.0
Reichsbürger,4.0
Reif,4.0
Relegation,7.0
Remis,1.0
Rennen,7.0
Rheinland-Pfalz,6.0
Rock,2.0
Rom,5.0
Rund,3.0
Runde,7.0
Russland,7.0
Rätsel,3.0
Rücktritt,5.0
S.,7.0
Saarland,6.0
Sache,3.0
Sachsen-Anhalt,3.0
Salihamidzic,1.0
Salzburg,5.0
Samstag,1.0
Sandhausen,2.0
Sanktionen,7.0
Saudi-Arabien,6.0
Schaden,3.0
Schalke,6.0
Schau,4.0
Schauspieler,4.0
Schick,3.0
Schießerei,1.0
Schiff,1.0
Schlag,4.0
Schleswig-Holstein,5.0
Schloss,1.0
Schnee,6.0
Schröder,7.0
Schule,1.0
Schulen,5.0
Schultz,7.0
Schumacher,1.0
Schutz,6.0
Schweizer,3.0
Schwerin,3.0
Schwesig,1.0
Schwester,4.0
Schüler,3.0
Schülerin,4.0
Selenskyj,1.0
Sensation,7.0
Serie,1.0
Sex,4.0
Shanghai,4.0
Sicherheit,4.0
Sicht,6.0
Sieg,3.0
Sieger,2.0
Siemens,7.0
Silber,7.0
Sind,5.0
Smith,2.0
Solidarität,3.0
Sommer,6.0
Song,7.0
Sonne,3.0
Sonnenschein,6.0
Sorge,1.0
Sorgen,4.0
Spandau,6.0
Spaß,4.0
Spiegel,1.0
Spiel,1.0
Spielen,3.0
Sport,4.0
Sprit,5.0
Staat,3.0
Staatsanwalt,2.0
Stadt,6.0
Stahlwerk,5.0
Stand,5.0
Star,5.0
Starke,4.0
Starkregen,7.0
Stars,6.0
Steinmeier,6.0
Stich,4.0
Stream,7.0
Streich,5.0
Streit,4.0
Strom,5.0
Studie,2.0
Sturm,2.0
Sturmflut,4.0
Sturmtief,3.0
Stuttgart,3.0
Super,6.0
Sylt,5.0
System,7.0
Sänger,1.0
Talent,5.0
Tatort,3.0
Tempo,7.0
Tempolimit,4.0
Tesla,3.0
Testspiel,2.0
Texas,5.0
The,5.0
Theater,1.0
Thioune,4.0
Thüringen,3.0
Thüringer,7.0
Tiere,3.0
Tod,7.0
Tom,1.0
Top,4.0
Tour,6.0
Touristen,7.0
Training,7.0
Transfer,5.0
Trapp,5.0
Trauer,1.0
Trio,6.0
Tränen,1.0
Turnier,3.0
Twitter,3.0
Tür,7.0
U-Haft,2.0
Ukraine-Konflikt,2.0
Ukraine-Krise,6.0
Um,5.0
Umfrage,3.0
Umsatz,3.0
Und,3.0
Unfall,4.0
Ungarn,7.0
Unglück,5.0
Uni,3.0
Unterricht,4.0
Unwetter,7.0
Urlaub,2.0
Urteil,6.0
Vater,3.0
Verdi,3.0
Verdächtiger,4.0
Verfahren,1.0
Verfassungsschutz,3.0
Vergleich,3.0
Verkauf,6.0
Verletzte,3.0
Verletzung,2.0
Verstappen,5.0
Vertrag,3.0
Viel,3.0
Viele,5.0
Vier,7.0
Viertel,3.0
Villarreal,2.0
Visier,6.0
Voice,3.0
Volk,1.0
Vorbereitung,6.0
Vorfahrt,3.0
Vorm,5.0
Vorsicht,4.0
Vögel,3.0
Wachstum,3.0
Wahl,3.0
Wahnsinn,7.0
Waldbrand,7.0
Waldbrandgefahr,1.0
Waldbrände,6.0
Walijewa,4.0
Wand,7.0
Warnung,5.0
Washington,6.0
Wasser,4.0
Welcher,3.0
Weltkrieg,3.0
Weltrekord,1.0
Wenig,4.0
Werden,3.0
Werner,7.0
Wert,3.0
West,2.0
Wetterdienst,5.0
Wiesbaden,4.0
Will,7.0
Windhorst,2.0
Winter,4.0
Winterspiele,2.0
Wirtschaft,1.0
Wissing,2.0
Wo,4.0
Wochenende,1.0
Woelki,6.0
Wohnhausbrand,3.0
Wohnung,5.0
Wolf,4.0
Ylenia,3.0
York,3.0
Zahl,3.0
Zahlen,4.0
Zeichen,5.0
Zeit,3.0
Zeynep,2.0
Zoll,3.0
Zoo,2.0
Zu,3.0
Zug,7.0
Zugunglück,3.0
Zuschauer,3.0
Zverev,7.0
Zwei,5.0
Züge,3.0
Ärzte,3.0
Öl,3.0
Österreich,5.0
Özdemir,7.0
Überraschung,6.0
